"","CountryCode","Ranking","Economy","US Dollars (millions)"
"1","USA",1,"United States",16244600
"2","CHN",2,"China",8227103
"3","JPN",3,"Japan",5959718
"4","DEU",4,"Germany",3428131
"5","FRA",5,"France",2612878
"6","GBR",6,"United Kingdom",2471784
"7","BRA",7,"Brazil",2252664
"8","RUS",8,"Russian Federation",2014775
"9","ITA",9,"Italy",2014670
"10","IND",10,"India",1841710
"11","CAN",11,"Canada",1821424
"12","AUS",12,"Australia",1532408
"13","ESP",13,"Spain",1322965
"14","MEX",14,"Mexico",1178126
"15","KOR",15,"Korea, Rep.",1129598
"16","IDN",16,"Indonesia",878043
"17","TUR",17,"Turkey",789257
"18","NLD",18,"Netherlands",770555
"19","SAU",19,"Saudi Arabia",711050
"20","CHE",20,"Switzerland",631173
"21","SWE",21,"Sweden",523806
"22","IRN",22,"Iran, Islamic Rep.",514060
"23","NOR",23,"Norway",499667
"24","POL",24,"Poland",489795
"25","BEL",25,"Belgium",483262
"26","ARG",26,"Argentina",475502
"27","AUT",27,"Austria",394708
"28","ZAF",28,"South Africa",384313
"29","VEN",29,"Venezuela, RB",381286
"30","COL",30,"Colombia",369606
"31","THA",31,"Thailand",365966
"32","ARE",32,"United Arab Emirates",348595
"33","DNK",33,"Denmark",314887
"34","MYS",34,"Malaysia",305033
"35","SGP",35,"Singapore",274701
"36","CHL",36,"Chile",269869
"37","HKG",37,"Hong Kong SAR, China",263259
"38","EGY",38,"Egypt, Arab Rep.",262832
"39","NGA",39,"Nigeria",262597
"40","ISR",40,"Israel",258217
"41","PHL",41,"Philippines",250182
"42","GRC",42,"Greece",249099
"43","FIN",43,"Finland",247546
"44","PAK",44,"Pakistan",225143
"45","PRT",45,"Portugal",212274
"46","IRL",46,"Ireland",210771
"47","IRQ",47,"Iraq",210280
"48","DZA",48,"Algeria",205789
"49","PER",49,"Peru",203790
"50","KAZ",50,"Kazakhstan",203521
"51","CZE",51,"Czech Republic",196446
"52","ROM",52,"Romania",192711
"53","UKR",53,"Ukraine",176309
"54","QAT",54,"Qatar",171476
"55","NZL",55,"New Zealand",167347
"56","KWT",56,"Kuwait",160913
"57","VNM",57,"Vietnam",155820
"58","HUN",58,"Hungary",124600
"59","BGD",59,"Bangladesh",116355
"60","AGO",60,"Angola",114147
"61","PRI",61,"Puerto Rico",101496
"62","MAR",62,"Morocco",95982
"63","SVK",63,"Slovak Republic",91149
"64","ECU",64,"Ecuador",84040
"65","SYR",65,"Syrian Arab Republic",73672
"66","OMN",66,"Oman",69972
"67","CUB",67,"Cuba",68234
"68","AZE",68,"Azerbaijan",66605
"69","BLR",69,"Belarus",63267
"70","LKA",70,"Sri Lanka",59423
"71","HRV",71,"Croatia",59228
"72","DOM",72,"Dominican Republic",59047
"73","SDN",73,"Sudan",58769
"74","LUX",74,"Luxembourg",55178
"75","UZB",75,"Uzbekistan",51113
"76","BGR",76,"Bulgaria",50972
"77","GTM",77,"Guatemala",50234
"78","URY",78,"Uruguay",49920
"79","TUN",79,"Tunisia",45662
"80","SVN",80,"Slovenia",45279
"81","CRI",81,"Costa Rica",45104
"82","MAC",82,"Macao SAR, China",43582
"83","LBN",83,"Lebanon",42945
