"","CountryCode","Ranking","Economy","US Dollars (millions)","Long.Name","Income.Group","Region","Lending.category","Other.groups","Currency.Unit","Latest.population.census","Latest.household.survey","Special.Notes","National.accounts.base.year","National.accounts.reference.year","System.of.National.Accounts","SNA.price.valuation","Alternative.conversion.factor","PPP.survey.year","Balance.of.Payments.Manual.in.use","External.debt.Reporting.status","System.of.trade","Government.Accounting.concept","IMF.data.dissemination.standard","Source.of.most.recent.Income.and.expenditure.data","Vital.registration.complete","Latest.agricultural.census","Latest.industrial.data","Latest.trade.data","Latest.water.withdrawal.data","X2.alpha.code","WB.2.code","Table.Name","Short.Name"
"1","ABW",161,"Aruba",2584,"Aruba","High income: nonOECD","Latin America & Caribbean","","","Aruban florin","2000","","","1995",NA,NA,"","",NA,"","","Special","","","","","",NA,2008,NA,"AW","AW","Aruba","Aruba"
"5","ARE",32,"United Arab Emirates",348595,"United Arab Emirates","High income: nonOECD","Middle East & North Africa","","","U.A.E. dirham","2005","","","1995",NA,NA,"VAB","",NA,"BPM4","","General","Consolidated","GDDS","","","1998",NA,2008,2005,"AE","AE","United Arab Emirates","United Arab Emirates"
"18","BHR",93,"Bahrain",29044,"Kingdom of Bahrain","High income: nonOECD","Middle East & North Africa","","","Bahraini dinar","2001","","","1985",NA,NA,"VAP","",2005,"BPM5","","General","Consolidated","GDDS","","Yes","",NA,2007,2003,"BH","BH","Bahrain","Bahrain"
"19","BHS",138,"Bahamas, The",8149,"Commonwealth of The Bahamas","High income: nonOECD","Latin America & Caribbean","","","Bahamian dollar","2000","","The government has revised national accounts data for 1997-2007. The new base year is 2006.","2006",NA,1993,"VAB","",NA,"BPM5","","General","Budgetary","GDDS","","","",1997,2008,NA,"BS","BS","Bahamas, The","The Bahamas"
"23","BMU",149,"Bermuda",5474,"The Bermudas","High income: nonOECD","North America","","","Bermuda dollar","2000","","The Statistical Office has revised national accounts data for 1996-2007.","1996",NA,NA,"VAB","",NA,"","","","","","","Yes","",NA,2008,NA,"BM","BM","Bermuda","Bermuda"
"26","BRB",153,"Barbados",4225,"Barbados","High income: nonOECD","Latin America & Caribbean","","","Barbados dollar","2000","","","1974",NA,NA,"VAB","",NA,"BPM5","","General","Consolidated","GDDS","","Yes","",NA,2008,2000,"BB","BB","Barbados","Barbados"
"27","BRN",113,"Brunei Darussalam",16954,"Brunei Darussalam","High income: nonOECD","East Asia & Pacific","","","Brunei dollar","2001","","","2000",NA,NA,"VAP","",2005,"","","General","","GDDS","","Yes","",NA,2006,NA,"BN","BN","Brunei Darussalam","Brunei"
"43","CYP",102,"Cyprus",22767,"Republic of Cyprus","High income: nonOECD","Europe & Central Asia","","Euro area","Euro","2001","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","",2000,NA,"VAB","",2005,"BPM5","","General","Consolidated","SDDS","","Yes","",2005,2008,2000,"CY","CY","Cyprus","Cyprus"
"54","EST",103,"Estonia",22390,"Republic of Estonia","High income: nonOECD","Europe & Central Asia","","","Estonian kroon","2000","","","2000",NA,1993,"VAB","1987-95",2005,"BPM5","","General","Consolidated","SDDS","ES/BS, 2004","Yes","2001",2005,2008,2000,"EE","EE","Estonia","Estonia"
"67","GNQ",110,"Equatorial Guinea",17697,"Republic of Equatorial Guinea","High income: nonOECD","Sub-Saharan Africa","IBRD","","CFA franc","2002","","","2000",NA,NA,"VAB","1965-84",2005,"","","","","","","","",NA,NA,2000,"GQ","GQ","Equatorial Guinea","Equatorial Guinea"
