"","CountryCode","Ranking","Economy","US Dollars (millions)","Long.Name","Income.Group","Region","Lending.category","Other.groups","Currency.Unit","Latest.population.census","Latest.household.survey","Special.Notes","National.accounts.base.year","National.accounts.reference.year","System.of.National.Accounts","SNA.price.valuation","Alternative.conversion.factor","PPP.survey.year","Balance.of.Payments.Manual.in.use","External.debt.Reporting.status","System.of.trade","Government.Accounting.concept","IMF.data.dissemination.standard","Source.of.most.recent.Income.and.expenditure.data","Vital.registration.complete","Latest.agricultural.census","Latest.industrial.data","Latest.trade.data","Latest.water.withdrawal.data","X2.alpha.code","WB.2.code","Table.Name","Short.Name"
"9","AUS",12,"Australia",1532408,"Commonwealth of Australia","High income: OECD","East Asia & Pacific","","","Australian dollar","2006","","Fiscal year end: June 30; reporting period for national accounts data: FY.","",2007,1993,"VAB","",2005,"BPM5","","General","Consolidated","SDDS","ES/BS, 1994","Yes","2001",2004,2008,2000,"AU","AU","Australia","Australia"
"10","AUT",27,"Austria",394708,"Republic of Austria","High income: OECD","Europe & Central Asia","","Euro area","Euro","2001","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","2000",NA,1993,"VAB","",2005,"BPM5","","Special","Consolidated","SDDS","IS 2000","Yes","1999-2000",2004,2008,2000,"AT","AT","Austria","Austria"
"13","BEL",25,"Belgium",483262,"Kingdom of Belgium","High income: OECD","Europe & Central Asia","","Euro area","Euro","2001","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","2000",NA,1993,"VAB","",2005,"BPM5","","Special","Consolidated","SDDS","IHS, 2000","Yes","1999-2000 (conducted annually)",2004,2008,NA,"BE","BE","Belgium","Belgium"
"31","CAN",11,"Canada",1821424,"Canada","High income: OECD","North America","","","Canadian dollar","2006","","Fiscal year end: March 31; reporting period for national accounts data: CY.","2000",NA,1993,"VAB","",2005,"BPM5","","General","Consolidated","SDDS","LFS, 2000","Yes","1996/2001",2001,2008,2000,"CA","CA","Canada","Canada"
"32","CHE",20,"Switzerland",631173,"Switzerland","High income: OECD","Europe & Central Asia","","","Swiss franc","2000","","","2000",NA,NA,"VAB","",2005,"BPM5","","Special","Consolidated","SDDS","ES/BS, 2000","Yes","2000",NA,2008,2000,"CH","CH","Switzerland","Switzerland"
"44","CZE",51,"Czech Republic",196446,"Czech Republic","High income: OECD","Europe & Central Asia","","","Czech koruna","2001","RHS, 1993","","2000",1995,1993,"VAB","",2005,"BPM5","","General","Consolidated","SDDS","IS 1996","Yes","2000",2005,2008,2000,"CZ","CZ","Czech Republic","Czech Republic"
"45","DEU",4,"Germany",3428131,"Federal Republic of Germany","High income: OECD","Europe & Central Asia","","Euro area","Euro","2001","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","2000",NA,1993,"VAB","",2005,"BPM5","","Special","Consolidated","SDDS","IHS, 2000","Yes","1999-2000",2004,2008,2000,"DE","DE","Germany","Germany"
"47","DNK",33,"Denmark",314887,"Kingdom of Denmark","High income: OECD","Europe & Central Asia","","","Danish krone","2001","","","2000",NA,1993,"VAB","",2005,"BPM5","","General","Consolidated","SDDS","ITR 1997","Yes","1999-2000",2004,2008,2000,"DK","DK","Denmark","Denmark"
"53","ESP",13,"Spain",1322965,"Kingdom of Spain","High income: OECD","Europe & Central Asia","","Euro area","Euro","2001","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","2000",NA,1993,"VAB","",2005,"BPM5","","Special","Consolidated","SDDS","IHS, 2000","Yes","1999",2004,2008,2000,"ES","ES","Spain","Spain"
"56","FIN",43,"Finland",247546,"Republic of Finland","High income: OECD","Europe & Central Asia","","Euro area","Euro","2000","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","2000",NA,1993,"VAB","",2005,"BPM5","","General","Consolidated","SDDS","IS, 2000","Yes","1999-2000",2004,2008,2000,"FI","FI","Finland","Finland"
"58","FRA",5,"France",2612878,"French Republic","High income: OECD","Europe & Central Asia","","Euro area","Euro","2006 (rolling)","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","",2000,1993,"VAB","",2005,"BPM5","","Special","Consolidated","SDDS","ES/BS, 1994/95","Yes","1999-2000",2004,2008,2000,"FR","FR","France","France"
"61","GBR",6,"United Kingdom",2471784,"United Kingdom of Great Britain and Northern Ireland","High income: OECD","Europe & Central Asia","","","Pound sterling","2001","","","2000",NA,1993,"VAB","",2005,"BPM5","","General","Consolidated","SDDS","IS, 1999","Yes","1999-2000 (conducted annually)",2004,2008,2000,"GB","GB","United Kingdom","United Kingdom"
"68","GRC",42,"Greece",249099,"Hellenic Republic","High income: OECD","Europe & Central Asia","","Euro area","Euro","2001","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","",2000,NA,"VAB","",2005,"BPM5","","Special","Consolidated","SDDS","IHS, 2000","Yes","1999-2000",2003,2008,2000,"GR","GR","Greece","Greece"
"76","HUN",58,"Hungary",124600,"Republic of Hungary","High income: OECD","Europe & Central Asia","","","Hungarian forint","2001","","","",2000,1993,"VAB","",2005,"BPM5","","Special","Consolidated","SDDS","ES/BS, 2004","Yes","2000",2004,2008,2000,"HU","HU","Hungary","Hungary"
"79","IRL",46,"Ireland",210771,"Ireland","High income: OECD","Europe & Central Asia","","Euro area","Euro","2006","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","2000",NA,1993,"VAB","",2005,"BPM5","","General","Consolidated","SDDS","IHS, 2000","Yes","2000",2004,2008,2000,"IE","IE","Ireland","Ireland"
"82","ISL",122,"Iceland",13579,"Republic of Iceland","High income: OECD","Europe & Central Asia","","","Iceland krona","Register based","","","2000",NA,NA,"VAB","",2005,"BPM5","","General","Consolidated","SDDS","","Yes","",2004,2008,2000,"IS","IS","Iceland","Iceland"
"83","ISR",40,"Israel",258217,"State of Israel","High income: OECD","Middle East & North Africa","","","Israeli new shekel","2008","","","2005",NA,1993,"VAP","",2005,"BPM5","","Special","Consolidated","SDDS","ES/BS, 2001","Yes","1981",2004,2008,2004,"IL","IL","Israel","Israel"
"84","ITA",9,"Italy",2014670,"Italian Republic","High income: OECD","Europe & Central Asia","","Euro area","Euro","2001","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","2000",NA,1993,"VAB","",2005,"BPM5","","Special","Consolidated","SDDS","ES/BS, 2000","Yes","2000",2004,2008,2000,"IT","IT","Italy","Italy"
"87","JPN",3,"Japan",5959718,"Japan","High income: OECD","East Asia & Pacific","","","Japanese yen","2005","","Fiscal year end: March 31; reporting period for national accounts data: CY.","2000",NA,NA,"VAB","",2005,"BPM5","","General","Consolidated","SDDS","IS, 1993","Yes","2000",2004,2008,2000,"JP","JP","Japan","Japan"
"94","KOR",15,"Korea, Rep.",1129598,"Republic of Korea","High income: OECD","East Asia & Pacific","IBRD","","Korean won","2005","","","2000",NA,1993,"VAB","",2005,"BPM5","","Special","Consolidated","SDDS","ES/BS, 1998","Yes","2000",2005,2008,2000,"KR","KR","Korea, Rep.","Korea"
"104","LUX",74,"Luxembourg",55178,"Grand Duchy of Luxembourg","High income: OECD","Europe & Central Asia","","Euro area","Euro","2001","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","",2000,NA,"VAB","",2005,"BPM5","","Special","Consolidated","SDDS","","Yes","1999-2000 (conducted annually)",2004,2008,NA,"LU","LU","Luxembourg","Luxembourg"
"128","NLD",18,"Netherlands",770555,"Kingdom of the Netherlands","High income: OECD","Europe & Central Asia","","Euro area","Euro","2001","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","",2000,1993,"VAB","",2005,"BPM5","","Special","Consolidated","SDDS","IHS, 1999","Yes","1999-2000 (conducted annually)",2004,2008,NA,"NL","NL","Netherlands","Netherlands"
"129","NOR",23,"Norway",499667,"Kingdom of Norway","High income: OECD","Europe & Central Asia","","","Norwegian krone","2001","","","",2000,1993,"VAB","",2005,"BPM5","","General","Consolidated","SDDS","IS, 2000","Yes","1999",2003,2008,2000,"NO","NO","Norway","Norway"
