"","x"
"1","(152,190]"
"2","(152,190]"
"3","(152,190]"
"4","(152,190]"
"5","(152,190]"
"6","(152,190]"
"7","(152,190]"
"8","(152,190]"
"9","(152,190]"
"10","(152,190]"
"11","(152,190]"
"12","(152,190]"
"13","(152,190]"
"14","(152,190]"
"15","(152,190]"
"16","(152,190]"
"17","(152,190]"
"18","(152,190]"
"19","(152,190]"
"20","(152,190]"
"21","(152,190]"
"22","(152,190]"
"23","(152,190]"
"24","(152,190]"
"25","(152,190]"
"26","(152,190]"
"27","(152,190]"
"28","(152,190]"
"29","(152,190]"
"30","(152,190]"
"31","(152,190]"
"32","(152,190]"
"33","(152,190]"
"34","(152,190]"
"35","(152,190]"
"36","(152,190]"
"37","(152,190]"
"38","(152,190]"
"39","(114,152]"
"40","(114,152]"
"41","(114,152]"
"42","(114,152]"
"43","(114,152]"
"44","(114,152]"
"45","(114,152]"
"46","(114,152]"
"47","(114,152]"
"48","(114,152]"
"49","(114,152]"
"50","(114,152]"
"51","(114,152]"
"52","(114,152]"
"53","(114,152]"
"54","(114,152]"
"55","(114,152]"
"56","(114,152]"
"57","(114,152]"
"58","(114,152]"
"59","(114,152]"
"60","(114,152]"
"61","(114,152]"
"62","(114,152]"
"63","(114,152]"
"64","(114,152]"
"65","(114,152]"
"66","(114,152]"
"67","(114,152]"
"68","(114,152]"
"69","(114,152]"
"70","(114,152]"
"71","(114,152]"
"72","(114,152]"
"73","(114,152]"
"74","(114,152]"
"75","(114,152]"
"76","(114,152]"
"77","(76.2,114]"
"78","(76.2,114]"
"79","(76.2,114]"
"80","(76.2,114]"
"81","(76.2,114]"
"82","(76.2,114]"
"83","(76.2,114]"
"84","(76.2,114]"
"85","(76.2,114]"
"86","(76.2,114]"
"87","(76.2,114]"
"88","(76.2,114]"
"89","(76.2,114]"
"90","(76.2,114]"
"91","(76.2,114]"
"92","(76.2,114]"
"93","(76.2,114]"
"94","(76.2,114]"
"95","(76.2,114]"
"96","(76.2,114]"
"97","(76.2,114]"
"98","(76.2,114]"
"99","(76.2,114]"
"100","(76.2,114]"
"101","(76.2,114]"
"102","(76.2,114]"
"103","(76.2,114]"
"104","(76.2,114]"
"105","(76.2,114]"
"106","(76.2,114]"
"107","(76.2,114]"
"108","(76.2,114]"
"109","(76.2,114]"
"110","(76.2,114]"
"111","(76.2,114]"
"112","(76.2,114]"
"113","(76.2,114]"
"114","(38.6,76.2]"
"115","(38.6,76.2]"
"116","(38.6,76.2]"
"117","(38.6,76.2]"
"118","(38.6,76.2]"
"119","(38.6,76.2]"
"120","(38.6,76.2]"
"121","(38.6,76.2]"
"122","(38.6,76.2]"
"123","(38.6,76.2]"
"124","(38.6,76.2]"
"125","(38.6,76.2]"
"126","(38.6,76.2]"
"127","(38.6,76.2]"
"128","(38.6,76.2]"
"129","(38.6,76.2]"
"130","(38.6,76.2]"
"131","(38.6,76.2]"
"132","(38.6,76.2]"
"133","(38.6,76.2]"
"134","(38.6,76.2]"
"135","(38.6,76.2]"
"136","(38.6,76.2]"
"137","(38.6,76.2]"
"138","(38.6,76.2]"
"139","(38.6,76.2]"
"140","(38.6,76.2]"
"141","(38.6,76.2]"
"142","(38.6,76.2]"
"143","(38.6,76.2]"
"144","(38.6,76.2]"
"145","(38.6,76.2]"
"146","(38.6,76.2]"
"147","(38.6,76.2]"
"148","(38.6,76.2]"
"149","(38.6,76.2]"
"150","(38.6,76.2]"
"151","(38.6,76.2]"
"152","(1,38.6]"
"153","(1,38.6]"
"154","(1,38.6]"
"155","(1,38.6]"
"156","(1,38.6]"
"157","(1,38.6]"
"158","(1,38.6]"
"159","(1,38.6]"
"160","(1,38.6]"
"161","(1,38.6]"
"162","(1,38.6]"
"163","(1,38.6]"
"164","(1,38.6]"
"165","(1,38.6]"
"166","(1,38.6]"
"167","(1,38.6]"
"168","(1,38.6]"
"169","(1,38.6]"
"170","(1,38.6]"
"171","(1,38.6]"
"172","(1,38.6]"
"173","(1,38.6]"
"174","(1,38.6]"
"175","(1,38.6]"
"176","(1,38.6]"
"177","(1,38.6]"
"178","(1,38.6]"
"179","(1,38.6]"
"180","(1,38.6]"
"181","(1,38.6]"
"182","(1,38.6]"
"183","(1,38.6]"
"184","(1,38.6]"
"185","(1,38.6]"
"186","(1,38.6]"
"187","(1,38.6]"
"188","(1,38.6]"
"189",NA
